cancellation_id,booking_id,cancelled_at,reason,cancelled_by,refund_amount,refund_status,days_before_pickup
42d1f793-c6e3-420d-9caa-be0a347493cb,BKG0003397,2024-12-29 09:43:03,preco_alto,,898.88,pending,74
f7ea7732-9c85-48de-a49f-95379a2d6966,BKG0014535,2024-10-10 15:28:47,parceiro_sem_veiculo,system,673.45,denied,9
92dc6a3f-23ad-4ed1-b7a0-e21a88afe78c,BKG0017731,2025-03-14 01:13:31,parceiro_sem_veiculo,,135.07,pending,11
b05433ef-324c-40f9-84b9-b8bd19c92b3c,BKG0014380,2025-03-03 15:36:52,,admin,818.79,,23
59dac50a-41b4-4607-833a-9d4f2e8ec78d,BKG0002784,2025-03-28 20:43:28,parceiro_sem_veiculo,partner,706.71,,49
47056ddd-350a-4c8d-869c-5f27ae707cb1,BKG0008223,2024-12-19 16:19:05,duplicidade,customer,1376.52,processed,85
9f6a31e1-4bed-4159-ad64-1656184e5647,BKG0007054,2025-02-28 01:18:25,preco_alto,,1389.85,pending,72
3bab56cb-14fb-4d23-9e1a-7b398a421b02,BKG0008765,2024-12-28 19:34:33,fraude_detectada,,704.43,,82
7b41a256-aeb7-4c8b-bd12-318e5c6559d2,BKG0001116,2025-03-10 23:28:36,,admin,1231.59,denied,52
47727738-d2b4-48e0-ae02-75561cfada01,BKG0004023,2025-01-04 04:25:23,voo_cancelado,customer,1046.77,pending,-2
d0c3dd85-d0d6-4222-ba26-450964e673d8,BKG0008296,2025-01-23 00:25:55,,,480.08,,84
bac2a55e-d85e-40dc-886c-3c7f2a143b00,BKG0012171,2025-01-29 18:05:41,erro_usuario,admin,228.13,processed,88
e67ac005-afd3-402f-b2aa-15f100071b91,BKG0004517,2025-03-15 16:42:47,voo_cancelado,admin,755.12,denied,87
1638962d-6aab-4e3e-b3e7-869cc71b57e8,BKG0005821,2025-03-12 11:11:45,erro_usuario,admin,606.25,pending,43
0ccae4f3-b7f2-44c6-b34d-0b0b8803bf5f,BKG0011545,2024-12-14 18:26:51,parceiro_sem_veiculo,,1242.36,,89
7844bb85-8940-4eb1-b9cd-b51cdba05ba2,BKG0016624,2025-03-03 08:32:32,duplicidade,admin,279.38,,49
6b03719f-43d9-4cbf-b383-068ad76ecd7a,BKG0009221,2025-01-04 23:47:41,,,1413.08,processed,39
5f3ab709-769a-4530-ae56-a91e000f4442,BKG0017213,2024-11-13 05:30:54,,customer,25.51,denied,79
eddac393-58bf-457a-8c4a-064cba12f6d8,BKG0003502,2024-10-02 13:33:20,erro_usuario,customer,1302.52,pending,28
43ec7a51-9be8-42e5-800b-51235bbf4054,BKG0006469,2025-01-02 09:52:12,erro_usuario,partner,969.58,processed,30
1adb8657-a9ad-40a3-b362-4d250fd5b74a,BKG0011613,2024-10-08 13:39:34,erro_usuario,admin,,denied,32
2bbc2423-9e56-422e-a7f9-f477d7c0a494,BKG0012716,2025-03-15 10:21:04,erro_usuario,customer,1376.05,,44
5e165bf8-d803-4df1-85d0-3860dec741e4,BKG0003250,2025-01-20 20:28:31,erro_usuario,partner,1200.3,denied,58
d830a7db-c516-4949-acf0-921f6aaf3de0,BKG0004031,2024-11-01 09:45:05,outro,,,denied,74
81f291b2-3297-48f7-b039-91dae01bb312,BKG0017764,2024-11-04 09:46:25,fraude_detectada,,813.15,,33
8936f07b-608a-4b5b-8ccb-78a6ccb2ba6b,BKG0005326,2024-11-15 16:49:08,outro,customer,1094.38,,48
1203334d-3788-4df2-955e-256f2ff187c4,BKG0008909,2024-12-31 13:37:35,outro,customer,,pending,78
8c2ff228-de7e-4938-8985-ab41e39640bd,BKG0006202,2025-01-21 15:24:41,,customer,946.95,,25
d46c68ab-2e12-4ec2-8b8d-e1c280fc0505,BKG0011202,2024-10-14 23:30:04,duplicidade,,213.1,pending,79
c5195633-6e95-4e4e-a3c5-e297bbccce66,BKG0015967,2024-10-08 22:48:06,parceiro_sem_veiculo,customer,599.51,processed,12
9e4b5804-6016-427a-b7e4-ec8371815f32,BKG0002376,2025-02-20 03:32:53,preco_alto,admin,562.07,pending,84
c32a1a3e-9909-4c6c-b464-9bd9236e7375,BKG0016998,2025-02-11 11:34:48,cliente_desistiu,admin,261.0,processed,54
046e2454-dd2e-4db1-a81c-999637c13902,BKG0016689,2024-12-13 04:37:37,,customer,,pending,0
9f89a63d-fbc6-4ec5-8425-87b86fa71bde,BKG0006022,2024-11-25 17:59:11,outro,partner,1077.04,processed,1
fc554a87-3f0c-4d2c-8662-3f8fb4b0b033,BKG0000408,2025-03-18 22:20:34,preco_alto,,1378.14,denied,50
83f8a45d-e8f4-45ec-811c-c59cc63da28e,BKG0002171,2024-11-18 08:06:38,voo_cancelado,,1310.78,,9
ddec5176-bede-4b29-bb97-d8b6e063ea2e,BKG0009794,2024-11-19 17:54:25,cliente_desistiu,admin,71.58,pending,74
b4f0ad9a-4854-4f4a-9ae9-76597d903baa,BKG0006602,2025-01-12 19:14:54,,admin,1015.57,pending,43
097c060b-49cf-4dd3-9cee-1e85f590a0ad,BKG0002750,2024-11-05 12:07:04,,customer,813.78,pending,47
21846e1c-e5fc-4f9a-8f23-1d3b3d0329b7,BKG0005189,2025-03-11 21:29:42,preco_alto,admin,638.13,,-2
0971d148-21a6-4399-bdfc-521be8cf9ca1,BKG0015846,2024-11-10 16:25:49,,customer,251.94,denied,86
071c5ad7-25e5-4d2e-89df-bdf63a19a4b5,BKG0015815,2025-01-29 22:20:26,parceiro_sem_veiculo,system,291.89,processed,35
d5f5e66d-b188-4cd8-b426-60b3c47b06ee,BKG0011677,2025-02-05 14:31:10,outro,,623.75,processed,15
4b1482b1-57a9-4d11-be82-37ba54397780,BKG0008696,2025-01-21 06:41:26,duplicidade,admin,6.69,processed,
b248da08-8b8e-4854-b455-aa08c0838cc2,BKG0010600,2024-12-18 09:50:02,,,130.53,,42
50365e27-73ee-422b-a058-43dda07b704b,BKG0000680,2025-03-05 18:25:02,cliente_desistiu,customer,851.17,,85
962f9b06-dede-4106-a7f4-5fb8fbfbe623,BKG0006002,2024-10-25 00:11:47,duplicidade,,745.79,processed,
4e35e0ce-727a-4f7e-9ba5-c9b363051e8f,BKG0000063,2025-01-30 20:49:25,voo_cancelado,system,191.56,processed,84
44d48d32-0a4a-48cf-97a0-71dc3fe816aa,BKG0002075,2025-03-27 18:48:37,preco_alto,,656.13,processed,12
a9103180-85fa-49af-be9d-470f81a81aa9,BKG0003913,2025-01-12 22:17:50,preco_alto,customer,667.0,processed,58
862fcb31-5bf9-44d7-b074-98c58b4936e1,BKG0011897,2024-10-02 00:06:00,voo_cancelado,system,62.62,,
697f9b26-4bcb-4579-a6c2-6465ea234bbb,BKG0006715,2025-01-17 06:54:09,outro,system,936.37,,32
f18d9bf4-af96-4d96-8899-235a8914e991,BKG0013002,2025-01-26 20:07:40,,,521.87,pending,45
05bca3ca-af03-4030-b558-4171418a17d2,BKG0015970,2024-10-14 14:55:33,,,1279.64,pending,5
